TR1|0693|김동진|010-7838-0710|광주시|서초구|거절|null
TR2|4187|최연지|010-3646-9256|대전시|동작구|거절|null
TR3|6354|이재빈|010-1645-4833|울산시|양천구|거절|null
TR4|6572|정은훈|010-6273-7405|대전시|구로구|대기|null
TR5|4118|최은재|010-9138-2472|대구시|종로구|거절|null
TR6|0419|정미영|010-2401-5969|인천시|노원구|대기|null
TR7|6403|조준동|010-8492-5552|대구시|동작구|대기|null
TR8|7914|민우창|010-4515-3769|인천시|송파구|거절|null
TR9|2472|양대은|010-7093-1738|부산시|종로구|대기|null
TR10|2431|지재은|010-8928-5920|대구시|광진구|대기|null
TR11|5795|민진대|010-8721-3734|서울시|노원구|대기|null
TR12|5714|박연인|010-0311-9016|부산시|관악구|대기|null
TR13|3706|정영연|010-4535-0185|대구시|마포구|거절|null
TR14|8566|지훈대|010-9633-9013|대전시|도봉구|대기|null
TR15|6387|김빈연|010-5272-7256|대구시|금천구|대기|null
TR16|0993|민재미|010-6118-5533|울산시|광진구|대기|null
TR17|2343|조영빈|010-6453-6788|인천시|서대문구|대기|null
TR18|6788|임인훈|010-4897-2489|서울시|양천구|거절|null
TR19|0154|이은재|010-9291-8389|대전시|용산구|거절|null
TR20|0615|지수준|010-4997-8831|부산시|구로구|대기|null
TR21|3336|지연은|010-9671-3492|인천시|구로구|대기|null
TR22|2816|최은동|010-0501-8840|울산시|성동구|대기|null
TR23|1725|임진대|010-6161-9823|인천시|관악구|거절|null
TR24|5995|유석연|010-5560-3221|인천시|서대문구|거절|null
TR25|1687|임진은|010-0988-4898|광주시|금천구|거절|null
TR26|5165|조우하|010-1515-5513|서울시|금천구|거절|null
TR27|8290|최인연|010-8568-3071|부산시|노원구|거절|null
TR28|2919|박수재|010-9740-0854|울산시|영등포구|거절|null
TR29|2961|이훈재|010-1970-6535|인천시|관악구|대기|null
TR30|5131|최인창|010-4325-3988|부산시|중구|대기|null
TR31|8839|민빈진|010-4871-8610|울산시|강북구|대기|null
TR32|7719|조동석|010-2052-4959|광주시|강서구|대기|null
TR33|6970|최훈인|010-7924-6166|광주시|강동구|거절|null
TR34|3902|안진지|010-7369-6686|울산시|강북구|대기|null
TR35|8274|조지우|010-4505-1297|대전시|양천구|거절|null
TR36|9519|김하지|010-4782-2503|대구시|노원구|대기|null
TR37|1148|박은훈|010-7356-5914|인천시|강서구|대기|null
TR38|9937|임대빈|010-4876-5436|울산시|중랑구|대기|null
TR39|2078|조우수|010-6530-1902|서울시|은평구|거절|null
TR40|6433|민빈미|010-3890-1407|광주시|서대문구|대기|null
TR41|5413|조훈하|010-7162-1028|광주시|구로구|거절|null
TR42|3552|지은하|010-4433-8943|광주시|양천구|대기|null
TR43|6717|한인인|010-6229-3531|인천시|중랑구|거절|null
TR44|2251|양동재|010-8764-2489|울산시|영등포구|거절|null
